notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
盐城市大丰区消防救援大队大丰大队及专职队车辆保险项目（二次）成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293585.htm,2026-09-09 11:17,江苏,盐城市大丰区消防救援大队,成交公告,成交公告
自然资源部北海海洋中心雷州市西部海岸带区域海洋观监测数据治理服务成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293461.htm,2026-09-09 11:04,广西,自然资源部北海海洋中心,成交公告,成交公告
中国科学院动物研究所存储系统采购项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293457.htm,2026-09-09 11:04,北京,中国科学院动物研究所,成交公告,成交公告
大连海关技术中心危险货物包装检验恒温恒湿室改造项目-监理成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293426.htm,2026-09-09 11:01,辽宁,大连海关技术中心,成交公告,成交公告
中华人民共和国打洛海关打洛海关消除安全隐患综合维修改造项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293402.htm,2026-09-09 10:59,云南,中华人民共和国打洛海关,成交公告,成交公告
乐山市消防救援支队营区监控系统升级改造项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293372.htm,2026-09-09 10:54,四川,乐山市消防救援支队,成交公告,成交公告
沧州市消防救援支队2026年度机关物业服务采购项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293351.htm,2026-09-09 10:52,河北,沧州市消防救援支队,成交公告,成交公告
国家卫生健康委员会机关第二届医学高层次人才计划项目评审技术支持成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293297.htm,2026-09-09 10:49,北京,国家卫生健康委员会机关,成交公告,成交公告
国家卫生健康委员会机关第二届医学高层次人才计划项目评审成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293295.htm,2026-09-09 10:49,北京,国家卫生健康委员会机关,成交公告,成交公告
中国科学院海洋研究所声学释放器及甲板单元采购项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293244.htm,2026-09-09 10:43,山东,中国科学院海洋研究所,成交公告,成交公告
东北区域气象中心1#楼一层及中区采暖工程改造成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293210.htm,2026-09-09 10:38,辽宁,辽宁省气象局财务核算中心,成交公告,成交公告
东北区域气象中心配套设施空调工程改造（基础工程改造）成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293187.htm,2026-09-09 10:37,辽宁,辽宁省气象局财务核算中心,成交公告,成交公告
全国海关信息中心2026年粤港澳大湾区跨境通关车辆风险甄别模型优化迭代技术服务采购项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293079.htm,2026-09-09 10:27,北京,全国海关信息中心,成交公告,成交公告
北京中医药大学第三附属医院3号楼北侧停车区域改造成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293058.htm,2026-09-09 10:25,北京,北京中医药大学第三附属医院,成交公告,成交公告
中华人民共和国南宁出入境边防检查站2026年公务用车维修服务项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293370.htm,2026-09-09 10:24,广西,中华人民共和国南宁出入境边防检查站,成交公告,成交公告
中国极地研究中心（中国极地研究所）“雪龙”号第43次南极前修理成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293014.htm,2026-09-09 10:20,上海,中国极地研究中心（中国极地研究所）,成交公告,成交公告
中国人民警察大学（广州）8号楼4间多功能教室改造项目-工程部分（三次）成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27292968.htm,2026-09-09 10:17,广东,中国人民警察大学,成交公告,成交公告
中华人民共和国爱店出入境边防检查站爱店营区厨房装修改造项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27292946.htm,2026-09-09 10:15,广西,中华人民共和国爱店出入境边防检查站,成交公告,成交公告
