notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
广东海事局船艇建造项目（两艘沿海20米级巡逻船建造）招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294667.htm,2026-09-09 14:23,广东,中华人民共和国广东海事局本级,招标公告,招标公告
海关总署2026年数据治理服务采购项目,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294705.htm,2026-09-09 14:23,北京,海关总署物资装备采购中心,,未知公告
远程教育平台整合升级公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294665.htm,2026-09-09 14:22,北京,国家卫生健康委能力建设和继续教育中心,公开招标公告,公开招标公告
上海海关全自动超低温保存冰箱、全自动超低温存储系统、全自动血型分析仪采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294602.htm,2026-09-09 14:11,上海,上海国际旅行卫生保健中心（上海海关口岸门诊部）,公开招标公告,公开招标公告
中国科学院高能物理研究所CSNS-II冷中子直接几何非弹谱仪径向准直器系统采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294590.htm,2026-09-09 14:09,北京,中国科学院高能物理研究所,公开招标公告,公开招标公告
中国科学院微电子研究所微光显微镜分析系统采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294505.htm,2026-09-09 13:52,北京,中国科学院微电子研究所,公开招标公告,公开招标公告
北京协和医院东单院区门诊楼扶梯预防性修理项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294489.htm,2026-09-09 13:47,北京,中国医学科学院北京协和医院,公开招标公告,公开招标公告
同济大学动力电池环境模拟测试系统采购项目(第二次）公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294487.htm,2026-09-09 13:47,上海,同济大学,公开招标公告,公开招标公告
中央广播电视总台8K超高清频道大屏呈现光缆传输公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294467.htm,2026-09-09 13:42,北京,中央广播电视总台,公开招标公告,公开招标公告
大连海事大学嵌入式与机器视觉综合实验平台采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294464.htm,2026-09-09 13:40,辽宁,大连海事大学,公开招标公告,公开招标公告
北京中医药大学东方医院国家中医药传承创新中心建设项目第1包、第2包公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294432.htm,2026-09-09 13:33,北京,北京中医药大学东方医院,公开招标公告,公开招标公告
皇岗海关皇岗口岸新联检大楼食堂厨房智能化厨具设备采购项目（第二次招标）招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294009.htm,2026-09-09 11:50,广东,中华人民共和国皇岗海关,招标公告,招标公告
中国中医科学院高容量数据存储服务器与高性能计算存储采购项目招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27293868.htm,2026-09-09 11:40,北京,中国中医科学院,招标公告,招标公告
四川省宜宾市消防救援支队基本防护装备采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27293885.htm,2026-09-09 11:17,四川,宜宾市消防救援支队,公开招标公告,公开招标公告
上海海关动植物与食品检验检疫技术中心微生物试剂培养基采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27293569.htm,2026-09-09 11:14,上海,上海海关动植物与食品检验检疫技术中心,公开招标公告,公开招标公告
自然资源部大连海洋中心（自然资源部大连海洋预报台）海洋防灾减灾专项金石滩测点-室外挡土墙、临街面补植草坪工程项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27293477.htm,2026-09-09 11:06,辽宁,自然资源部大连海洋中心（自然资源部大连海洋预报台）,公开招标公告,公开招标公告
贵州税务2026年车船税征收系统和企业所得税综合管控平台运维服务招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27293503.htm,2026-09-09 11:04,贵州,国家税务总局贵州省税务局,招标公告,招标公告
江南大学超高时空分辨率活细胞成像系统采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27293406.htm,2026-09-09 10:58,江苏,江南大学,公开招标公告,公开招标公告
江南大学微生物超分辨性状分析及数字资产智慧化管理系统采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27293404.htm,2026-09-09 10:58,江苏,江南大学,公开招标公告,公开招标公告
中国美术馆2026-2029年保安服务采购项目招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27293272.htm,2026-09-09 10:40,北京,中国美术馆,招标公告,招标公告
中国矿业大学（徐州）中国矿业大学文昌校区2026年“供暖设施改造”项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27293189.htm,2026-09-09 10:36,江苏,中国矿业大学（徐州）,公开招标公告,公开招标公告
北京大学燃料电池控制箱采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27293054.htm,2026-09-09 10:25,北京,北京大学,公开招标公告,公开招标公告
北京大学大气环境与人体暴露模拟装置项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27293056.htm,2026-09-09 10:25,北京,北京大学,公开招标公告,公开招标公告
