notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
光刻工艺专用试剂便捷询价,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27291126.htm,2026-09-08 19:12,北京,zycgr22011902,,未知公告
单芯片封装加工便捷询价,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27291106.htm,2026-09-08 19:11,北京,zycgr22011902,,未知公告
中华人民共和国龙口出入境边防检查站警体训练暨托管中心改造项目施工合同公告更正公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27291030.htm,2026-09-08 18:58,山东,中华人民共和国龙口出入境边防检查站,更正公告,更正公告
中华人民共和国西藏出入境边防检查总站日喀则边境管理支队2026年公务用车保险服务机构选取项目竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27290782.htm,2026-09-08 18:41,西藏,日喀则边境管理支队,竞争性磋商公告,竞争性磋商公告
四川省阿坝藏族羌族自治州红原县消防救援大队2026年至2029年度采购代理机构入围比选项目采购公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27290562.htm,2026-09-08 18:19,四川,红原县消防救援大队,项目采购公告,项目采购公告
选取2026年度总队新训大队副食品供应商项目二次流标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27290538.htm,2026-09-08 18:16,黑龙江,黑龙江省森林消防总队,流标公告,流标公告
林芝市消防救援支队关于征集2026年度政府采购代理机构合作意向的公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27290028.htm,2026-09-08 17:48,西藏,林芝市消防救援支队,作意向的公告,作意向的公告
天津大学天津纳米颗粒与纳米系统国际研究中心膜厚监测系统采购项目快速磋商公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27289988.htm,2026-09-08 17:47,天津,天津大学,快速磋商公告,快速磋商公告
天津大学天津纳米颗粒与纳米系统国际研究中心光电探测系统采购项目快速磋商公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27289806.htm,2026-09-08 17:40,天津,天津大学,快速磋商公告,快速磋商公告
天津大学天津纳米颗粒与纳米系统国际研究中心冷却水循环系统采购项目快速磋商公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27289798.htm,2026-09-08 17:39,天津,天津大学,快速磋商公告,快速磋商公告
吉林大学五轴联动立式加工中心采购项目废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27289588.htm,2026-09-08 17:32,吉林,吉林大学,项目废标公告,项目废标公告
北京市朝阳区消防救援支队基层消防站燃气锅炉更换项目废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27289304.htm,2026-09-08 17:21,北京,朝阳区消防救援支队,项目废标公告,项目废标公告
民大附中朝阳学校化学实验室设备采购项目公开比选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27289207.htm,2026-09-08 17:16,北京,中央民族大学附属中学,公开比选公告,公开比选公告
哈尔滨工程大学第二十二学生公寓建设项目超低能耗断桥铝合金门窗等采购及安装评标结果公示,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27289142.htm,2026-09-08 17:15,黑龙江,哈尔滨工程大学,,未知公告
肇庆市消防救援支队封开县消防救援大队2026年灭火救援装备采购项目采购需求参数征求意见公告其他,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27289791.htm,2026-09-08 17:09,广东,肇庆市消防救援支队,征求意见公告,征求意见公告
中国传媒大学消防报警设施更换及消防总控升级(二期)项目（二次）废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27288909.htm,2026-09-08 17:06,北京,中国传媒大学,废标公告,废标公告
